City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Jambi,ID,-1.6,103.6167,74.73,93,100,3.18,overcast clouds
265,Oranjemund,NA,-28.55,16.4333,61.81,89,76,13.09,broken clouds
266,Cherskiy,RU,68.75,161.3,-35.09,80,100,1.57,overcast clouds
267,Grand-Santi,GF,4.25,-54.3833,71.92,97,90,2.39,overcast clouds
268,Teknaf,BD,20.8624,92.3058,60.57,53,61,10.27,broken clouds
269,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,82,75,17.27,broken clouds
270,Kedrovyy,RU,56.1667,91.8167,-40.0,74,100,5.82,mist
271,Sisimiut,GL,66.9395,-53.6735,6.85,89,58,7.18,broken clouds
272,Salina,US,38.8403,-97.6114,23.0,80,90,9.22,overcast clouds
273,Kaeo,NZ,-35.1,173.7833,82.99,59,20,11.99,few clouds
274,Baykit,RU,61.67,96.37,-45.44,72,49,2.51,scattered clouds
275,Platteville,US,42.7342,-90.4785,18.0,85,1,8.86,clear sky
276,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,48,0,9.22,clear sky
277,Amuntai,ID,-2.4177,115.2494,76.62,93,99,1.23,light rain
278,Sultanpur,IN,26.2667,82.0667,44.69,69,0,4.76,clear sky
279,Qaanaaq,GL,77.484,-69.3632,-16.24,63,0,6.89,clear sky
280,Puerto Colombia,CO,10.9878,-74.9547,80.38,74,0,28.21,clear sky
281,Upernavik,GL,72.7868,-56.1549,2.55,91,60,12.44,broken clouds
282,Macusani,PE,-14.0833,-70.4333,42.26,80,100,2.37,overcast clouds
283,Garwa,IN,24.1833,83.8167,49.01,78,0,1.77,clear sky
284,Fukue,JP,32.6881,128.8419,51.8,66,40,16.11,scattered clouds
285,Oksfjord,NO,70.2396,22.3479,23.0,92,90,2.3,overcast clouds
286,Mayya,RU,61.7333,130.2811,-54.4,52,90,3.42,fog
287,Kahramanmaras,TR,38.0,37.0,41.0,65,75,1.14,broken clouds
288,Nome,US,64.5011,-165.4064,15.8,73,90,3.44,overcast clouds
289,Puerto Madryn,AR,-42.7692,-65.0385,67.42,39,62,13.89,broken clouds
290,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,94,75,19.57,broken clouds
291,Kahului,US,20.8947,-156.47,82.4,54,40,23.02,light rain
292,Saldanha,ZA,-33.0117,17.9442,62.6,82,0,8.05,clear sky
293,Pathein,MM,16.7833,94.7333,67.51,71,53,5.5,broken clouds
294,Xuddur,SO,4.1213,43.8894,66.61,86,0,13.87,clear sky
295,Vardo,NO,70.3705,31.1107,24.84,95,100,26.71,light snow
296,Helena,US,46.5927,-112.0361,24.01,68,1,3.44,clear sky
297,Suhbaatar,MN,50.2314,106.2078,-11.31,86,100,3.65,overcast clouds
298,Saanen,CH,46.4896,7.2596,27.0,72,100,4.0,overcast clouds
299,Torbay,CA,47.6666,-52.7314,33.01,100,90,20.71,light snow
300,Whitehorse,CA,60.7161,-135.0538,1.4,71,40,8.05,scattered clouds
301,Pokrovsk,UA,48.282,37.1758,37.9,86,100,12.59,overcast clouds
302,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,50,100,24.61,snow
303,Matay,EG,28.419,30.7792,48.36,51,100,2.37,overcast clouds
304,Derzhavinsk,KZ,51.1,66.3167,24.51,98,97,14.58,overcast clouds
305,Muros,ES,42.7762,-9.0603,57.99,96,100,5.01,overcast clouds
306,La Reforma,MX,25.0833,-108.05,62.01,63,99,8.99,overcast clouds
